UF;codigo_ibge;cidade;bairro
AC;1200013;Acrelândia;
AC;1200054;Assis Brasil;Bela Vista
AC;1200054;Assis Brasil;Cascata
AC;1200054;Assis Brasil;Centro
AC;1200054;Assis Brasil;Cidade Nova
AC;1200054;Assis Brasil;Plácido de Castro
AC;1200104;Brasiléia;Alberto Castro
AC;1200104;Brasiléia;Centro
AC;1200104;Brasiléia;Eldorado
AC;1200104;Brasiléia;Ferreira Silva
AC;1200104;Brasiléia;Francisco J. Moreira
AC;1200104;Brasiléia;Leonardo Barbosa
AC;1200104;Brasiléia;Marcos Galvão
AC;1200104;Brasiléia;Raimundo Chaar
AC;1200104;Brasiléia;Samaúma
AC;1200104;Brasiléia;Três Botequins
AC;1200138;Bujari;
AC;1200179;Capixaba;
AC;1200203;Cruzeiro do Sul;
AC;1200252;Epitaciolândia;Aeroporto
AC;1200252;Epitaciolândia;Beira Rio
AC;1200252;Epitaciolândia;Centro
AC;1200252;Epitaciolândia;J.C.Mesquita
AC;1200252;Epitaciolândia;José Hassem
AC;1200252;Epitaciolândia;Liberdade
AC;1200252;Epitaciolândia;Lírio dos Vales
AC;1200252;Epitaciolândia;Por do Sol
AC;1200252;Epitaciolândia;Satel
AC;1200302;Feijó;Aristides
AC;1200302;Feijó;Bela Vista
AC;1200302;Feijó;Centro
AC;1200302;Feijó;Cidade Nova
AC;1200302;Feijó;Cohab
AC;1200302;Feijó;Eletroacre
AC;1200302;Feijó;Esperança
AC;1200302;Feijó;Genir Nunes
AC;1200302;Feijó;Hospital
AC;1200302;Feijó;Nair Araújo
AC;1200302;Feijó;Segundo Distrito
AC;1200302;Feijó;Terminal
AC;1200302;Feijó;Zenaide Paiva
AC;1200328;Jordão;
AC;1200336;Mâncio Lima;
AC;1200344;Manoel Urbano;
AC;1200351;Marechal Thaumaturgo;
AC;1200385;Plácido de Castro;
AC;1200807;Porto Acre;
AC;1200393;Porto Walter;
AC;1200401;Rio Branco;
AC;1200427;Rodrigues Alves;Centro
AC;1200427;Rodrigues Alves;Dario Pereira
AC;1200427;Rodrigues Alves;Manoel Gomes
AC;1200427;Rodrigues Alves;Roberto Leite
AC;1200427;Rodrigues Alves;São Francisco
AC;1200435;Santa Rosa do Purus;
AC;1200500;Sena Madureira;Ana Vieira
AC;1200500;Sena Madureira;Bom Sucesso
AC;1200500;Sena Madureira;Cafezal
AC;1200500;Sena Madureira;Centro
AC;1200500;Sena Madureira;Centro Social Urbano
AC;1200500;Sena Madureira;Cidade Nova
AC;1200500;Sena Madureira;Cohab
AC;1200500;Sena Madureira;Cristo Libertador
AC;1200500;Sena Madureira;Da Pista
AC;1200500;Sena Madureira;Da Vitória
AC;1200500;Sena Madureira;Do Bosque
AC;1200500;Sena Madureira;Eugênio Areal
AC;1200500;Sena Madureira;Florentino
AC;1200500;Sena Madureira;Jardim Primavera
AC;1200500;Sena Madureira;Jorge Alves Júnior
AC;1200500;Sena Madureira;José Nogueira Sobrinho
AC;1200500;Sena Madureira;Nenem das Neves
AC;1200500;Sena Madureira;Niterói
AC;1200500;Sena Madureira;Raimundo Gomes de Freitas
AC;1200500;Sena Madureira;São Felipe
AC;1200500;Sena Madureira;São Francisco
AC;1200500;Sena Madureira;São Gonçalves
AC;1200500;Sena Madureira;Triângulo
AC;1200500;Sena Madureira;Vila Militar
AC;1200450;Senador Guiomard;
AC;1200609;Tarauacá;Avelino Leal
AC;1200609;Tarauacá;Centro
AC;1200609;Tarauacá;Cohab
AC;1200609;Tarauacá;Copacabana
AC;1200609;Tarauacá;Ipepaconha
AC;1200609;Tarauacá;Praia
AC;1200609;Tarauacá;Triângulo
AC;1200708;Xapuri;Bolívia
AC;1200708;Xapuri;Cageacre
AC;1200708;Xapuri;Centro
AC;1200708;Xapuri;Cerâmica
AC;1200708;Xapuri;Constantino
AC;1200708;Xapuri;Laranjal
AC;1200708;Xapuri;Multirão
AC;1200708;Xapuri;Pantanal
AC;1200708;Xapuri;Raimundo H. de Melo
AC;1200708;Xapuri;Sibéria
AL;2700102;Água Branca;
AL;2700201;Anadia;
AL;2700300;Arapiraca;Alazão
AL;2700300;Arapiraca;Alto do Cruzeiro
AL;2700300;Arapiraca;Baixa Grande
AL;2700300;Arapiraca;Baixão
AL;2700300;Arapiraca;Batingas
AL;2700300;Arapiraca;Boa Vista
AL;2700300;Arapiraca;Bom Sucesso
AL;2700300;Arapiraca;Brasília
AL;2700300;Arapiraca;Brasiliana
AL;2700300;Arapiraca;Cacimbas
AL;2700300;Arapiraca;Caititus
AL;2700300;Arapiraca;Canafístula
AL;2700300;Arapiraca;Capiatã
AL;2700300;Arapiraca;Cavaco
AL;2700300;Arapiraca;Centro
AL;2700300;Arapiraca;Deputado Nezinho
AL;2700300;Arapiraca;Eldorado
AL;2700300;Arapiraca;Guaribas
AL;2700300;Arapiraca;Itapoã
AL;2700300;Arapiraca;Jardim de Maria
AL;2700300;Arapiraca;Jardim Esperança
AL;2700300;Arapiraca;Jardim Tropical
AL;2700300;Arapiraca;João Paulo II
AL;2700300;Arapiraca;Manoel Teles
AL;2700300;Arapiraca;Massaranduba
AL;2700300;Arapiraca;Nova Esperança
AL;2700300;Arapiraca;Novo Horizonte
AL;2700300;Arapiraca;Olho D'Água dos Cazuzinhas
AL;2700300;Arapiraca;Olho D'Água dos Cazuzinhos
AL;2700300;Arapiraca;Ouro Preto
AL;2700300;Arapiraca;Padre Antonio Lima Neto
AL;2700300;Arapiraca;Planalto
AL;2700300;Arapiraca;Primavera
AL;2700300;Arapiraca;Santa Edwiges
AL;2700300;Arapiraca;Santa Esmeralda
AL;2700300;Arapiraca;São Luiz
AL;2700300;Arapiraca;São Luiz II
AL;2700300;Arapiraca;Senador Arnon de Melo
AL;2700300;Arapiraca;Senador Nilo Coelho
AL;2700300;Arapiraca;Senador Teotônio Vilela
AL;2700300;Arapiraca;Verdes Campos
AL;2700300;Arapiraca;Zélia Barbosa Rocha
AL;2700409;Atalaia;
AL;2700508;Barra de Santo Antônio;
AL;2700607;Barra de São Miguel;Alto de São Marcos
AL;2700607;Barra de São Miguel;Barra Mar
AL;2700607;Barra de São Miguel;Brejo
AL;2700607;Barra de São Miguel;Centro
AL;2700607;Barra de São Miguel;Piaçavas
AL;2700607;Barra de São Miguel;Porto de Vacas
AL;2700607;Barra de São Miguel;Praia das Conchas
AL;2700607;Barra de São Miguel;Quebra Cachimbo
AL;2700607;Barra de São Miguel;Saquarema
AL;2700706;Batalha;
AL;2700805;Belém;
AL;2700904;Belo Monte;
AL;2701001;Boca da Mata;
AL;2701100;Branquinha;
AL;2701209;Cacimbinhas;
AL;2701308;Cajueiro;
AL;2701357;Campestre;
AL;2701407;Campo Alegre;
AL;2701506;Campo Grande;
AL;2701605;Canapi;
AL;2701704;Capela;
AL;2701803;Carneiros;
AL;2701902;Chã Preta;
AL;2702009;Coité do Nóia;
AL;2702108;Colônia Leopoldina;
AL;2702207;Coqueiro Seco;
